pwm rpm 
0xfe 91
0xfd 100
0xfc 104
0xfb 75
0xfa 80
0xf9 80
0xf8 80
0xf7 80
0xf6 79
0xf5 79
0xf4 79
0xf3 79
0xf2 78
0xf1 78
0xf0 77
0xef 76
0xee 77
0xed 78
0xec 77
0xeb 77
0xea 77
0xe9 77
0xe8 77
0xe7 77
0xe6 77
0xe5 77
0xe4 77
0xe3 77
0xe2 76
0xe1 77
0xe0 76
0xdf 76
0xde 77
0xdd 76
0xdc 76
0xdb 76
0xda 76
0xd9 77
0xd8 76
0xd7 76
0xd6 76
0xd5 77
0xd4 76
0xd3 76
0xd2 77
0xd1 77
0xd0 77
0xcf 76
0xce 76
0xcd 76
0xcc 75
0xcb 79
0xca 76
0xc9 76
0xc8 77
0xc7 77
0xc6 77
0xc5 77
0xc4 77
0xc3 76
0xc2 77
0xc1 75
0xc0 78
0xbf 77
0xbe 77
0xbd 77
0xbc 77
0xbb 77
0xba 78
0xb9 100
0xb8 76
0xb7 76
0xb6 76
0xb5 76
0xb4 76
0xb3 77
0xb2 77
0xb1 76
0xb0 76
0xaf 77
0xae 77
0xad 76
0xac 77
0xab 76
0xaa 77
0xa9 78
0xa8 78
0xa7 77
0xa6 77
0xa5 77
0xa4 77
0xa3 77
0xa2 77
0xa1 77
0xa0 77
0x9f 77
0x9e 77
0x9d 76
0x9c 76
0x9b 76
0x9a 76
0x99 76
0x98 76
0x97 76
0x96 76
0x95 76
0x94 76
0x93 76
0x92 76
0x91 76
0x90 77
0x8f 
